Feature,Importance
Onboard_Entertainment,0.32811385
Seat_Comfort,0.13949943
Customer_Type,0.08341022
Travel_Class,0.061364975
Legroom,0.060850855
Ease_of_Online_Booking,0.057673898
Platform_Location,0.04727638
Type_Travel,0.04190016
Arrival_Time_Convenient,0.035269435
Cleanliness,0.02789156
Baggage_Handling,0.025757343
Online_Boarding,0.02542355
Catering,0.022402931
CheckIn_Service,0.015737522
Onboard_Wifi_Service,0.012535392
Age,0.010359349
Seat_Class,0.0045331633
