Feature,Importance
Onboard_Entertainment,0.32292992
Seat_Comfort,0.14521736
Customer_Type,0.07903569
Ease_of_Online_Booking,0.06435507
Travel_Class,0.057522614
Legroom,0.054495297
Platform_Location,0.048424024
Type_Travel,0.039435156
Arrival_Time_Convenient,0.034922153
Online_Boarding,0.030516623
Baggage_Handling,0.028881438
Catering,0.026367005
Cleanliness,0.021654006
CheckIn_Service,0.015630227
Onboard_Wifi_Service,0.0139327925
Age,0.011622709
Seat_Class,0.0050578946
